gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
Lifr	89.579347886394	-6.48228463670265	1.13328590186842	7.48E-09	1.26E-05
Mt1	2673.67665176904	-2.85000158416866	0.285092370555431	1.51E-23	1.78E-19
Mpeg1	1643.68057773055	-1.00558167893553	0.245552048242524	2.98E-08	3.52E-05
Abcd2	575.535244354989	-0.998208733097606	0.192901743248909	3.83E-10	1.13E-06
Mgst2	736.14700101313	-0.736553909005721	0.231602664847246	4.20E-06	0.002358396231351
Slpi	868.595192895748	-0.724231580619039	0.322432862442415	1.41E-05	0.005073777622177
Iigp1	1012.68513261745	-0.719499926592746	0.247908207173316	7.28E-06	0.003303560707791
Ms4a4c	120.059652423252	-0.683634709738541	0.731798734470454	2.42E-05	0.007937114663462
Lgals1	6770.88032963294	-0.670977357951502	0.156841470301179	4.98E-07	0.000392008059196
Ap3s1	2792.95025947375	-0.669037904566019	0.162896807501673	8.44E-07	0.000622612983727
Anxa3	1723.02586678173	-0.650549129109588	0.196122965019903	5.78E-06	0.002841157421379
H2-Aa	900.282569435869	-0.649885109882576	0.251529765549134	1.83E-05	0.006316572813897
Cd300lb	943.811579598421	-0.626580157075106	0.287838675504485	3.39E-05	0.009164337051812
Ctsh	519.661859547891	-0.621808822295101	0.272409864968188	3.17E-05	0.009164337051812
Lrrc25	224.541048631243	-0.621624302949399	0.371052039278414	4.34E-05	0.010466060875953
Sorcs2	133.618911632846	-0.615300820441928	0.7953170918764	3.52E-05	0.009164337051812
Ms4a6c	2326.95154655364	-0.614417375763884	0.184634628288066	6.78E-06	0.003201542101684
Ctsg	13100.7967139549	-0.607255340365857	0.249125554582232	2.91E-05	0.008811669644847
Rab7b	319.730272528379	-0.599312620854656	0.30994678302525	5.09E-05	0.011773300428903
Pyhin1	777.698665578941	-0.591320983763164	0.370280687087668	5.76E-05	0.012599981361863
Gm4951	287.746567023717	-0.589256392803324	0.621108328699088	3.57E-05	0.009164337051812
Tyrobp	3037.52756488913	-0.580660812932817	0.151204420063957	2.54E-06	0.001666245065066
Mcpt8	1163.44084776911	-0.576791078585919	0.187797458484508	1.27E-05	0.004847481828002
