Motif	GC content	Motif length
MA0634.1 ALX3	0.2757	10
MA0151.1 Arid3a	0.0617	6
MA0601.1 Arid3b	0.1529	11
MA0602.1 Arid5a	0.2764	14
MA0635.1 BARHL2	0.344	10
MA1471.1 BARX2	0.2485	12
MA0465.2 CDX2	0.2919	12
MA0879.1 Dlx1	0.2708	10
MA0148.4 FOXA1	0.3003	12
MA0047.3 FOXA2	0.2972	11
MA1683.1 FOXA3	0.319	11
MA0845.1 FOXB1	0.1931	11
MA0032.2 FOXC1	0.2043	11
MA0846.1 FOXC2	0.232	12
MA0031.1 FOXD1	0.275	8
MA0847.2 FOXD2	0.2751	13
MA0041.1 Foxd3	0.2234	12
MA1487.1 FOXE1	0.297	15
MA1606.1 Foxf1	0.2925	11
MA0030.1 FOXF2	0.3407	14
MA0613.1 FOXG1	0.2252	8
MA0479.1 FOXH1	0.4011	11
MA0042.2 FOXI1	0.2682	7
MA0614.1 Foxj2	0.2466	8
MA0851.1 Foxj3	0.3306	17
MA0852.2 FOXK1	0.3871	14
MA1103.2 FOXK2	0.3295	11
MA0033.2 FOXL1	0.225	7
MA1607.1 Foxl2	0.2969	14
MA0480.1 Foxo1	0.3646	11
MA0157.2 FOXO3	0.264	8
MA0848.1 FOXO4	0.2686	7
MA0849.1 FOXO6	0.2789	7
MA0481.3 FOXP1	0.3064	11
MA0593.1 FOXP2	0.305	11
MA0850.1 FOXP3	0.293	7
MA0040.1 Foxq1	0.2021	11
MA0892.1 GSX1	0.3085	10
MA0109.1 HLTF	0.3969	10
MA0899.1 HOXA10	0.2701	11
MA1497.1 HOXA6	0.349	10
MA0901.2 HOXB13	0.2382	14
MA0903.1 HOXB3	0.3084	10
MA0914.1 ISL2	0.3542	8
MA1518.1 LHX1	0.3237	8
MA0619.1 LIN54	0.1885	9
MA0052.4 MEF2A	0.2568	15
MA0497.1 MEF2C	0.2823	15
MA1640.1 MEIS2(var.2)	0.307	15
MA0662.1 MIXL1	0.2934	10
MA0606.1 NFAT5	0.3328	10
MA0624.1 NFATC1	0.4114	10
MA0152.1 NFATC2	0.3461	7
MA0625.1 NFATC3	0.3805	10
MA0122.3 Nkx3-2	0.3356	13
MA0675.1 NKX6-2	0.2323	8
MA0710.1 NOTO	0.2901	10
MA0676.1 Nr2e1	0.2996	9
MA1113.2 PBX2	0.2789	13
MA0713.1 PHOX2A	0.1648	11
MA0681.2 PHOX2B	0.1581	16
MA0784.1 POU1F1	0.2511	14
MA0785.1 POU2F1	0.2499	12
MA0786.1 POU3F1	0.2259	12
MA0787.1 POU3F2	0.2229	12
MA0788.1 POU3F3	0.2069	13
MA1115.1 POU5F1	0.3037	11
MA0792.1 POU5F1B	0.224	9
MA0509.2 RFX1	0.4944	14
MA0799.1 RFX4	0.4922	16
MA0719.1 RHOXF1	0.4431	8
MA0630.1 SHOX	0.2284	8
MA1152.1 SOX15	0.311	10
MA0868.2 SOX8	0.353	10
MA0687.1 SPIC	0.4105	14
MA0084.1 SRY	0.2381	9
MA1623.1 Stat2	0.3284	13
MA0108.2 TBP	0.3767	15
MA0769.2 TCF7	0.3753	11
MA0523.1 TCF7L2	0.3984	14
MA0721.1 UNCX	0.2331	8
MA0722.1 VAX1	0.244	8
MA0723.1 VAX2	0.2584	8
MA0725.1 VSX1	0.2206	8
MA1585.1 ZKSCAN1	0.4647	10
MA1125.1 ZNF384	0.1534	12
