motif_DB	motif_ID	seq_ID	FASTA_score	PWM_score	class
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	1_160024368_160024952	165	27.2421	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	12_84674867_84675476	219	7.98714	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	10_84111415_84111867	171	7.91264	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	18_39409623_39409957	248	4.95047	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	11_46304815_46305465	86	4.27158	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	9_3031172_3031396	27	3.63023	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	9_3029719_3029872	40	3.33989	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	14_124801334_124802318	24	3.22494	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	13_51926814_51927268	261	3.18503	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	9_3009894_3010047	33	2.97125	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	2_84963946_84964404	90	2.84062	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	9_3020126_3020630	12	2.8197	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	1_160047636_160047876	430	2.68447	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	14_62425232_62425719	312	2.54085	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	9_3023509_3023670	9	2.52647	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	9_3014033_3014426	7	2.39178	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	9_3013175_3013610	19	2.34528	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	9_3022399_3022627	13	2.32799	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	9_3023867_3024269	10	2.27657	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	9_3029484_3029634	41	2.25728	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	9_3024919_3025198	14	2.18312	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	9_3003316_3003586	15	2.1221	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	10_4261422_4261811	112	2.07287	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	4_58941693_58941953	276	2.06684	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	7_99795295_99795731	425	2.00062	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	9_3020826_3021097	8	1.98694	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	3_127824530_127824879	364	1.97754	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	3_52396164_52396666	71	1.89914	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	9_3006641_3006949	17	1.86168	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0602.1	9_3001975_3002311	11	1.7646	tp
#
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	6_114778671_114779013	136	17.3594	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	7_125625988_125626166	359	16.9682	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	19_10469247_10469676	400	13.8114	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	14_70847426_70847658	377	12.8984	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	11_88595630_88595875	227	12.5072	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	6_90660974_90661467	323	12.0874	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	16_95815407_95815657	426	11.9699	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	12_3917708_3918224	126	11.4707	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	11_97999318_97999587	311	11.0911	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	11_6481048_6481326	363	10.7396	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	10_118978319_118978607	335	10.3597	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	2_167179326_167179630	392	9.785	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	3_131054279_131054605	179	9.14605	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	15_74936631_74936963	79	8.96703	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	19_11266094_11266434	297	8.74463	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	8_94179717_94180394	1	8.73943	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	10_4261422_4261811	112	8.6282	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	19_61225885_61226604	21	8.36974	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	14_74921968_74922331	366	8.19334	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	15_59714502_59714867	458	8.13718	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	19_47330659_47331031	369	7.99254	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	17_88042436_88042815	405	7.83897	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	13_58197915_58198307	213	7.6294	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	5_125040170_125040567	444	7.49097	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	2_166353388_166353794	374	7.31234	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	7_16784505_16784922	313	7.12575	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	10_116746607_116747026	330	7.08413	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	16_30145492_30145918	341	6.95914	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	2_168341425_168341853	109	6.94322	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	13_30761246_30761677	198	6.91772	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	15_76770383_76770822	343	6.73928	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	13_51926814_51927268	261	6.53812	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	6_120579693_120580619	203	6.35553	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	7_82029636_82030108	144	6.2913	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	6_145020511_145020984	160	6.2671	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	5_113830183_113830659	385	6.22013	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	7_132697310_132697796	66	6.11384	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	9_83385165_83385656	128	6.02871	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	9_105803261_105803762	205	5.93623	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	7_89835538_89836041	349	5.91914	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	11_118253975_118254511	376	5.54971	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	9_3029484_3029634	41	5.33632	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	2_130716604_130717164	204	5.27887	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	6_120567359_120567922	89	5.26393	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	17_4498087_4498677	220	5.00605	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	17_35027344_35027944	424	4.92191	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	19_41384984_41385629	169	4.84256	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	9_115489009_115489747	53	4.04271	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	10_81168811_81169681	45	3.41428	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	13_9834232_9834509	32	2.83319	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	2_73867821_73868110	28	2.72542	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	9_3029719_3029872	40	2.63174	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	9_3023867_3024269	10	1.97404	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	9_124422667_124424398	49	1.93809	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	9_3013175_3013610	19	1.81731	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	9_3031172_3031396	27	1.76172	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	14_33189341_33189575	68	1.68502	fp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	9_3020126_3020630	12	1.58651	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	9_3003316_3003586	15	1.48585	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	9_3020826_3021097	8	1.48027	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	9_3024919_3025198	14	1.44054	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	9_3006641_3006949	17	1.31497	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA0004.1	16_35981592_35981894	31	1.29973	tp
