Row.names	baseMean	log2FoldChange	lfcSE	pvalue	padj
2610035D17Rik	2190.91815679547	-0.470085380922452	0.250073011521837	0.000129102985142176	0.0205422713666232
Adgrg1	55708.6531313882	-0.167949503418519	0.126793735565275	0.00122297207293114	0.0780322289128604
Akna	2518.16213321825	-0.402342550444581	0.214649455653703	0.000167641933975404	0.0224868794164281
Anxa3	1723.02586678173	0.650549129109588	0.196122965019903	5.77666707159399e-06	0.00284115742137898
Ap3s1	2792.95025947375	0.669037904566019	0.162896807501673	8.43934915251425e-07	0.000622612983726739
Apoe	7657.20304125128	0.309582354806219	0.239671936638916	0.000686546042737433	0.0536688045594216
Arhgap27	1309.40262043507	-0.696261394842825	0.141260965877219	3.38922978881516e-08	3.63695167519765e-05
Arhgap30	4528.94496739988	-0.264514002780033	0.162403848501617	0.000338231039729608	0.0344179240773129
Arhgef2	8337.71589288933	-0.228192699800896	0.136378519476111	0.000299058461497471	0.032080279415416
Cap1	3047.09699076864	-0.477188946852489	0.150648364144643	1.2730594431384e-05	0.00484748182800181
Car2	36747.6366398406	-0.197287721416075	0.145749535789239	0.000901925919614716	0.0653149297860865
Ccdc97	2515.82533386474	-0.308961390671384	0.159524089457485	0.000149357127356951	0.0213878960824662
Chpf2	594.229499516366	-0.724203679717356	0.266470773899428	8.93672127218258e-06	0.00390700214432752
Clec12a	4251.90066801111	0.24287896485129	0.212310970909662	0.00128857505274294	0.0803658620018265
Csf1r	1369.55351951138	0.492080663589026	0.25536566239359	0.000108215225422989	0.0185126452303327
Ctsg	13100.7967139549	0.607255340365857	0.249125554582232	2.91134459631505e-05	0.00881166964484688
Ctsz	7533.78481637233	0.39431977424727	0.130509224064461	1.41845697671853e-05	0.00507377762217745
Emb	21702.4403747735	0.488021700489083	0.0850699514658128	1.87955866515549e-09	4.43726209669908e-06
Emid1	1787.30052354279	-0.223727333694191	0.215313563141898	0.0017942214685413	0.0989672439937452
Espl1	957.808184750794	-0.782982988056402	0.171869805646428	7.94403749336156e-08	7.2131860439723e-05
F13a1	2945.18069853858	0.301809650539016	0.376145721983581	0.000433962830462448	0.0403346240218798
Fkbp5	2455.79879376899	0.300777106250267	0.259035911683512	0.000876273101450951	0.0642455135995467
Gbp3	2619.81043378546	0.466929177588813	0.130173710584703	4.99901814167929e-06	0.00268220046110829
H2-Aa	900.282569435869	0.649885109882576	0.251529765549134	1.83001682043924e-05	0.00631657281389744
H2-Ab1	4345.79853801545	0.217024592052044	0.205663255320097	0.00181759712952116	0.0997903093807801
Hlf	3840.95702850404	-0.26051831885923	0.212032800575677	0.000981219123533772	0.0685343818591281
Ifi27l2a	505.662599344331	0.27252988503262	0.332532012062651	0.000863359823869801	0.0640949645343342
Ighv11-2	301.315132758895	-25.6683552893427	4.11016185709397	1.6317125706368e-10	6.4202450612656e-07
Igkv14-126	506.343591108064	-26.6835250016967	3.33796849902909	4.80887803392919e-16	2.83819981562501e-12
Igtp	3205.78530026628	0.319312898573484	0.155622168921345	0.0001126259367313	0.0187244585517784
Iigp1	1012.68513261745	0.719499926592746	0.247908207173316	7.27656543566359e-06	0.00330356070779127
Irf8	8376.58719848362	0.480152558528847	0.309066235540052	0.000167282241664543	0.0224868794164281
