24h_1	24h_2	72h_1	72h_2	proB_1	proB_2
Celsr1	8942.8	9910.4	5259.6	6241.6	3633.4	4348.8
Fli1	2480.8	2470.1	2451.1	2492.1	2211.2	2079.4
Camk1g	46.4	29	63.1	30.4	574.3	518.9
Diexf	1569.1	1474	1613	1665.7	1620.3	1711.5
Hsd11b1	153.2	179.9	159.6	184.1	416.7	337.4
H2-M3	467.9	431.1	575.4	552.3	682.1	611.5
Atp5e	3568.9	2799	3771.8	2912.2	3823.1	3248.8
Nelfcd	2865.2	2793.4	2999.6	3080.6	2977.2	3007.6
Ctsz	1752	1651.1	2989.4	2337.4	1385	1536.1
Slmo2	2451.1	2265.8	3036.8	2605.7	2723.3	2827.3
Ube2a	1598.8	1430	1837.6	1577.5	2130.3	1962.4
Slc25a5	23825.7	22530.9	28385.2	27777.6	18913.6	20754.7
Ppdpf	1285.9	1201.3	1214	1484.5	987.9	1087.8
Nkap	1528.2	1558.3	1729.1	1534.4	2023.5	2101.3
Ndufa1	1570.9	1421.5	1523.9	1386.6	1531.1	1502
E2f3	2922.7	2738.1	2650.7	2653.7	2848.7	3017.3
Cr1l	1984.1	1874.1	1841.4	1827.2	2005.9	1992.9
Ppfibp1	99.3	75	197.7	102.8	345.2	307
Cd46	244.2	253	199.5	219.3	350.4	347.2
Cd34	7359.8	8778.5	4981.1	9176.3	171	269.2
Plgrkt	974.9	843.4	920.7	788.3	1104	974.5
Cd274	107.7	100.3	135.5	122.4	197	180.3
Gtf3a	4030.4	3795.1	4268.4	4074.5	3321.4	3621.5
Mtif3	467.9	526.6	430.6	451.4	497.6	506.7
Lnx2	990.6	979.2	891	973.3	973.4	1047.6
Dyrk3	713	750.6	713.7	641.4	861.5	896.6
Mapkapk2	8542.6	8125.3	8903.3	8487.9	7679.5	7325.9
Lamp2	4640.4	5100.5	4487.4	4820.7	4305.2	4086.9
Atxn10	5873.3	6081.6	5395.1	6053.5	6340.1	6632.8
Foxred2	1884.7	2173.1	1615.8	1765.5	1174.5	1152.4
Eif3d	8979.9	8791.6	9874.1	9701.2	9297.7	10127.6
H3f3b	23098.7	23125.9	24634.7	25111.2	34496.4	32548.7
Nup50	4476	4378	4685.1	4927.4	4778.9	5228.3
Phf21b	104	102.1	104.9	118.5	161.7	170.5
Ift27	1297	1169.5	931.8	1047.8	896.7	970.9
Pacsin2	3602.4	3555.2	3757	3514.4	3454.1	3630.1
Cmah	1194	1440.3	970.8	1640.2	785.8	644.4
Ttll12	2942.2	3103.6	3718.9	3765.1	3836.6	4244
Tox4	4219.8	4348.9	4089.2	4251.8	4182.9	4346.3
Mrps18c	1122.5	990.5	1254.8	981.2	1048	1061
Srsf6	20916	20889.1	20453.6	20577.4	19398.7	19585.3
Plcg1	2666.5	2841.2	2343.5	2836.8	10270	9944.9
Kctd2	699.1	728.1	628.3	645.3	1087.4	985.5
Tmprss6	969.3	611	481.7	212.5	106.8	74.3
Kctd5	2236.6	2131.8	2150.4	2023.1	2059.8	2073.3
Etaa1	1632.2	1628.6	1601.9	1483.5	1735.3	1634.7
Sdc4	940.5	739.3	1048.8	866.6	4669	3962.6
Nbr1	4351.6	4695.7	3326.3	3694.6	3173.2	3077
Cyth1	2712.9	2264	2750	2202.3	5997	5679
Brca1	3288.5	3341.6	3734.7	3463.5	4401.6	4572.9
Nt5c3b	1829	1982.8	1714.2	1877.2	1816.2	2062.3
Coa3	1386.2	1275.4	1572.2	1427.7	993.1	1028.1
Med24	6046	5913.8	5583.5	5800.9	4742.6	4808
Psmd3	7818.4	7619.3	8906.1	8620.1	7459.7	8187.1
Exosc10	3932.9	3968.5	4274.9	4348.7	4003.5	4055.2
Glod4	2812.3	2744.7	2936.5	2882.8	2224.6	2292.5
Vps53	1662.8	1712	1885.9	1851.7	1583	1550.7
Taok1	3789	4247.7	3292	3693.6	3721.6	3873.7
Dnttip1	1233.9	1107.6	1252.9	1237.7	1275.1	1253.5
Acot8	416.9	470.4	459.4	479.8	434.4	412.9
Nlk	1222.8	1224.7	1040.4	1176	1063.6	983
Traf4	3035.1	2763.4	3061.8	2918.1	6750.6	6680.3
Stac2	180.1	190.2	31.6	59.7	136.8	242.4
Rpl19	31549.4	30698.4	30987.6	30342.2	33356.1	33794.9
Nek8	630.4	662.5	581.9	599.3	941.3	847.8
Plxdc1	221	195.8	111.4	170.4	1834.9	1560.4
Arl5b	1371.3	1481.5	1180.5	1271	1744.7	1720
Zfp207	11947.2	12104.1	12046.8	11952.4	12843	13004.9
Psmd11	4353.5	4091.2	4645.2	4641.5	4232.6	4440.1
C1qtnf1	423.4	532.3	230.2	311.4	450.9	443.4
Timp2	581.2	747.8	468.7	487.7	63.2	85.3
Zc3h18	5631	5576.5	5850.8	6004.6	5011.1	5573
Top2b	18152	18658	16630.7	17491.8	24925.1	24431
Igfbp4	10521.1	11024.6	10842.1	12691.7	5661.1	7428.2
Cdc6	3860.5	3550.6	4125.4	3799.4	3005.2	3336.5
Suz12	12146.8	11816.4	13912.3	12593.8	15288.4	14688.3
Atad5	4308	4260.9	4547.7	4346.8	5055.7	4955.4
Crlf3	3584.7	3469	3739.3	3485.1	4237.8	4607
Tnfaip1	1406.6	1375.6	1418.1	1392.5	1505.2	1685.9
Abr	7020.9	6815.3	8253.6	7715.3	6961.1	6619.4
Rab11fip4	6909.5	6954.9	4046.5	2940.6	63.2	25.6
Slc35c2	1531.9	1699.8	1775.5	2062.2	997.3	1097.5
Elmo2	2033.3	2175.9	2016.8	2137.6	1879.4	1770
Wsb1	4904	4678.8	5204.8	4720.8	6642.8	6042
Ttpal	2447.4	2480.4	2013.1	2259.1	3855.3	3749.4
Rhot1	3139.1	2934.9	3094.3	3079.7	2786.5	2956.4
Rhbdl3	180.1	250.2	100.2	303.6	77.7	112.1
Ada	518.1	488.2	581	570.9	1275.1	1449.6
Serinc3	14656.4	15725.9	12228.7	16024	51100.3	43371.9
Pgs1	2651.6	2485.1	3023.8	2439.2	2908.8	3173.3
Birc5	3995.1	3545.9	5446.1	4596.5	6796.2	6682.7
Pigt	3123.3	3276.9	3666	3914.9	4038.8	4295.2
Ghdc	156	138.7	173.6	179.2	179.3	143.7
Pltp	123.5	156.5	123.4	161.6	24.9	26.8
Slc12a7	1704.6	1722.3	1332.8	1428.7	6493.5	6470.8
Ctsa	4271.8	4364.9	4195	4071.6	2422.6	2597.1
Zswim1	431.7	437.6	530.9	535.6	482	512.8
Slc12a4	487.4	425.4	488.2	448.5	417.8	539.6
Myo1c	4626.4	4610.4	4019.6	3794.5	6247.9	7283.3
Crk	5421.2	5659	4461.4	4982.3	5070.2	5354.9
Cox7c	3597.7	3214.1	4080.9	3500.7	3323.5	3175.7
Pitpna	8578.8	8088.8	8941.4	8210.8	8110.7	8624.4
Mlx	1225.5	1176	1299.3	1254.4	1200.4	1206
Fam134c	2372.2	2346.4	2165.3	2357	2704.6	2899.2
Dhx58	1222.8	962.4	574.5	1009.6	204.2	215.6
Rab5a	1759.4	1740.1	1762.5	1614.7	1986.2	1945.4
Nkiras2	1753.8	1796.4	1779.2	1729.3	1782	1704.2
Ppp2r5c	6590.1	6626	6145	6303.3	6826.3	6649.8
Ift52	2160.5	2136.5	2117.9	2125.9	2193.5	2002.6
Mybl2	2504	2213.4	3118.4	2814.3	4272	4381.7
Eya2	347.2	358.9	199.5	182.1	219.8	169.3
B4galt5	3011.9	3335	2317.5	2881.8	1373.6	1542.2
Hnf4a	718.6	1711.1	172.6	1541.3	3.1	28
Ddx27	5228.1	4821.2	5856.3	5629.5	4409.9	4873.8
Cyth3	385.3	459.2	368.5	395.6	304.8	297.2
Cyth4	3557.8	2877.7	3632.6	3236.3	2177	2260.9
Rac3	156.9	78.7	142.9	70.5	133.7	76.7
Rrp7a	3166	3073.6	3638.2	3664.2	2801	3131.8
Cyb5r3	1902.4	2178.7	1833	2197.4	989	1153.6
Ints2	4408.2	4669.4	4380.7	4389.9	3001.1	3086.8
Med13l	16165.1	17024.7	11493.6	12370.5	7991.5	8304.1
Hist1h2bc	332.4	355.1	220	222.3	324.5	293.6
Mafk	2677.6	2614.4	2184.8	2324.7	1603.7	1723.7
Med1	4353.5	4476.4	4457.7	4476	4579.9	4664.3
Stard3	1393.6	1457.1	1404.2	1564.8	1515.6	1428.9
Ikzf3	178.3	60.9	68.7	28.4	2052.6	2223.1
Mfng	1378.7	1281.9	1566.6	1431.6	1768.5	2094
Vmp1	3179	2993.9	3136.1	2767.3	2315.9	2296.2
Uchl5	3393.5	3117.6	4082.7	3526.2	3529.8	3624
Glrx2	753.9	705.6	805.6	759.9	769.2	733.3
Trove2	589.6	637.2	546.7	542.5	573.3	615.2
Stk4	9142.4	9382.9	10115.4	9963.6	12987.1	13242.4
Zcchc10	672.2	592.2	788.9	667.8	642.7	659
Psmb6	5284.7	4790.3	5668.9	5327.9	4858.7	4945.6
Spag7	2037.9	1972.5	2166.2	2017.2	1998.6	1899.1
Pfn1	15649.8	14425.2	18814.5	18283.1	18053.2	19575.5
Tomm34	2232.9	2335.2	2420.5	2502.9	2990.7	3118.4
Ywhab	9885.1	10095	10819.8	10946.7	10817.4	11139.9
Ksr1	1735.3	1753.3	949.5	1098.7	540.1	553
Anxa6	7461.9	7974.5	6864.3	8511.4	7785.2	8450.2
Il12rb2	781.7	852.7	559.6	803.9	5.2	26.8
Zkscan6	586.8	551	560.6	532.7	616.8	562.8
Kpna2	8511	8426.1	10898.7	10802.8	12698.9	13490.9
Smurf2	1745.5	1837.6	1511.9	1692.1	1607.8	1466.6
Cep95	1012	980.2	997.7	989	1040.8	962.3
Vezf1	1576.5	1767.3	1574.1	1707.8	2642.4	2429
Cuedc1	221	279.2	110.4	113.6	108.8	97.5
Srsf1	25879.4	26517.2	28257.1	27353.6	30156	30328
Abi3	771.5	772.1	610.7	659	803.4	846.6
Kif3a	540.4	545.4	586.6	591.4	707	712.6
Sept8	544.1	647.5	406.5	586.6	132.7	159.6
Mtmr4	2661.8	2958.3	2840.9	3170.7	2552.2	2650.7
Mrm1	697.3	696.2	754.5	695.2	712.2	746.7
Kansl1	4038.7	4128.7	3811.7	3872.8	4648.3	4570.5
Gid4	2621	2630.4	2053	2311	2230.9	2284
Dhx40	2290.5	2223.7	2107.7	2030.9	4027.4	3879.8
Ypel2	425.2	442.3	180.1	291.8	676.9	719.9
Akap1	2218.1	2235.8	2441.8	2307	2289.9	2407
Nol11	3173.4	3141.1	3841.4	3644.7	3282	3519.2
Derl2	1694.4	1663.3	1784.7	1652.9	2287.9	2180.5
C1qbp	10061.5	9396.9	12434.7	11187.6	8311.8	9189.6
Rpain	838.4	874.3	768.5	760.9	678	672.4
Chd3	3882.8	4667.5	3386.7	3985.4	7535.4	6884.9
Kdm6b	2675.8	3027.7	2153.2	2717.3	2607.2	2342.5
Appbp2	4320	4417.3	4125.4	4282.1	4442	4518.1
Adora2b	147.6	131.2	155	133.2	10.4	13.4
Ncor1	12040.1	13001.8	12361.4	12925.7	14715.2	14699.3
Trpv2	2631.2	2868.4	3150	3398.9	2460	2612.9
Cenpv	1849.5	1919.1	1804.2	1790	429.2	403.2
Pcgf2	595.1	612.8	610.7	583.6	607.5	600.5
Cwc25	1276.6	1211.6	1164.8	1075.2	1088.5	1193.8
Pip4k2b	3077.8	2904.9	3432.1	3268.6	3222.9	3449.8
Trim37	4857.6	4919.6	5026.6	5034.2	5215.4	5619.3
Ctdnep1	3552.2	3684.6	3998.3	3977.6	4277.2	4360.9
Elp5	1687	1683	1849.7	1781.2	1599.5	1605.5
Gabarap	5023.8	5086.4	4286	4353.6	4146.6	3768.9
2810408A11Rik	299.9	341.1	279.4	308.5	318.2	276.5
Phf23	2680.4	2688.5	2523.5	2684	2581.2	2727.4
Acadvl	2004.5	2099	1882.2	2042.7	1275.1	1299.8
G3bp1	19465.7	19031.9	21346.4	20683.1	19762.6	21127.4
Atox1	1697.2	1624.9	1806.1	1709.7	1070.9	1084.1
Sparc	33.4	15	458.5	57.8	106.8	138.9
Mief2	354.7	390.8	327.6	384.8	392.9	380.1
Tada2a	1034.3	1015.8	1137.9	1032.1	934	994
Ikzf1	22697.7	24289.8	19170	22245	11614.6	11851.3
Pnpo	1345.3	1348.4	1358.7	1381.7	660.3	666.3
Cog1	1338.8	1358.8	1345.8	1320	1066.7	1090.2
Cbx1	6362.6	6459.2	6384.4	6596	7512.6	7290.6
Cdk5rap3	2465	2536.6	2338.8	2347.2	1514.5	1556.8
Slc25a39	2776	2886.2	3576	3826.8	2899.5	3137.9
Sp2	1206	1181.6	1342	1340.6	1676.3	1790.7
Aatf	2353.6	2399.8	2753.7	2476.5	1838	2148.8
Dync1h1	14524.6	17363.9	13588.4	17298.9	11618.7	14203.5
Pex12	568.2	612.8	564.3	613	510	482.4
Ndel1	1671.2	1564	1410.7	1490.4	1586.1	1454.5
Slc25a35	169.9	149.9	133.6	160.6	61.2	34.1
Zbtb4	132.8	147.1	85.4	111.6	127.5	113.3
Mpdu1	1427.9	1368.1	1551.8	1530.5	1632.7	1672.5
Fxr2	4132.5	4034.1	3693.9	3861.1	3539.1	3619.1
Atp5g3	13666.7	12448	15027.9	13646.4	11947.3	12192.4
Cd68	152.3	134.9	265.4	228.2	210.4	173
Acsl1	4988.5	4738.8	3860	3704.4	4214	4296.4
Smyd4	468.9	515.4	511.4	507.2	513.1	562.8
Lsp1	38186.9	33837.6	32017.8	27988.1	17416.7	17834.8
Zfyve27	1789.1	1943.5	1543.4	1609.8	1604.7	1540.9
Avpi1	255.3	303.6	259.9	316.3	104.7	131.6
Rad51d	908	926.8	849.2	862.7	597.1	604.2
Pank3	4018.3	4440.8	3797.8	3915.9	4818.3	4781.2
Rars	4990.4	4556	5714.3	5252.5	4527	4909.1
Ict1	950.7	967.1	1062.7	1073.2	964.1	1019.6
Fdxr	2322	2384.8	1409.8	1923.2	832.4	875.8
Mrpl45	2187.4	2067.2	2192.2	2150.4	2086.8	2040.4
Irf1	1617.3	1538.7	1514.7	1567.7	1777.8	1972.2
Slc22a5	434.5	462.9	487.3	471	598.1	599.3
P4ha2	8.4	6.6	32.5	5.9	174.2	168.1
Arrb1	2643.3	2963.9	2259	2355	1851.4	1929.5
Pelp1	3795.5	3820.4	3904.5	4027.5	3048.8	3388.9
Med11	698.2	610	766.6	730.5	715.3	688.2
Ccl6	40.9	40.3	231.1	150.8	27	20.7
Natd1	435.4	439.5	358.2	430.9	663.5	584.7
Map2k3	2916.2	2492.6	3690.1	3114.9	2861.1	2975.9
Ywhah	5242.9	5142.6	6031.8	5609	6619	6507.3
Sart3	4476	4342.4	5158.4	4840.3	5383.3	5323.3
E2f2	3431.5	3227.3	4415.9	3594.7	14900.7	14804.1
Slfn3	1022.2	1062.6	1050.6	1125.1	794.1	947.7
Nars2	753	656.9	650.6	721.7	761.9	687
Slc35b4	1966.4	2202.1	1730	2217.9	1338.3	1404.5
Dnah1	131.8	116.2	168	143.9	414.7	377.6
Dalrd3	2435.3	2461.7	2642.3	2402	1989.3	1951.5
Fis1	3327.5	3263.8	2895.7	3051.3	2528.4	2437.5
Plod1	527.4	633.5	379.6	458.3	137.9	127.9
Rab3d	844	856.5	659.9	809.8	254	248.5
Mfsd3	223.8	228.6	208.8	244.8	256.1	247.3
Slc25a22	1404.7	1366.2	1575	1506	1030.4	1188.9
Atp6ap1	5076.7	5177.3	5864.7	5187.9	4707.4	4233
Dnase1l1	400.2	419.8	436.2	386.8	406.4	355.7
Ccl9	8409.8	6839.7	7241.1	5664.8	328.6	203.4
BC005537	14789.2	14328.7	14104.4	13988.2	11442.5	11785.5
Isyna1	4796.3	4874.6	5228.9	5771.5	1911.6	2330.3
Hars2	1953.4	1941.6	1822.8	1785.1	2133.4	2135.4
Tmem160	1182.8	1204.1	1154.6	1208.4	858.3	878.3
Rab5c	6534.4	6022.5	7191	6716.5	8034	7757.1
Mdh2	11771.7	11263.6	13645	12967.8	10264.8	10824.4
H13	5382.2	5799.5	5305	5915.5	5069.2	4795.8
Rnf145	2735.2	2525.4	2941.2	2556.7	4963.5	4825.1
Atp6v1e1	2868.9	2832.8	2543.9	2471.6	2172.8	1999
Chtf18	1531	1463.7	1872	1744	1745.7	1854
Ppp1r12c	2856.8	2985.5	3015.4	3001.3	4036.7	4044.2
Ahr	688	836.8	631.1	963.6	192.8	187.6
Map1s	1875.5	2162.8	1988.9	2128.8	1642	1818.7
Tmem129	1119.7	1059.8	1015.3	1072.2	1304.1	1314.4
Nop9	3331.3	3268.5	3859.1	3725.9	2928.5	3084.3
Atp6v0a1	985.1	800.3	1252	1032.1	492.4	516.5
Psmc3ip	786.4	674.7	1003.3	847	700.8	700.4
Grb7	0.9	3.7	3.7	1	175.2	185.2
Zfp687	2465.9	2589.1	2132.8	2378.5	2131.3	2220.7
D8Ertd738e	2691.6	2494.5	2944.9	2717.3	2490	2496
Calm3	10505.3	10587	12234.3	12010.2	10830.9	11308
Cops3	5108.3	4998.3	5261.4	5235.9	4374.6	4532.7
Fkbp8	8920.5	9147.7	9269.9	9165.5	7905.4	8076.3
Ddx39b	17247.7	17399.5	18889.7	18422.1	19608.1	19805.7
Gipc1	1609.9	1819.8	1299.3	1531.5	1345.6	1371.6
Tlcd1	575.6	535.1	478.9	368.2	314.1	313.1
Plscr3	2814.1	2662.2	3062.7	2708.5	3087.1	2995.4
Arhgef25	114.2	105.9	80.7	69.5	18.7	14.6
Xab2	3380.5	3259.1	3353.2	3417.5	3238.5	3164.7
Cdc37	10964.9	10845.6	11118.7	11027	8516	9253
Rab4a	189.4	297.1	91.9	255.6	27	108.4
Trip10	1307.2	1095.4	1144.4	901.9	602.3	579.8
Cops6	3327.5	3137.3	3988.1	3431.2	3670.8	3538.7
Ubb	12431.9	12279.4	13103	13009	14439.4	14063.4
Ap4m1	2231	2307.1	2183.8	2074	1670	1749.2
Gyg	1151.3	1214.4	1036.7	1157.4	438.5	479.9
Arid3a	8590.9	7748.6	9181.7	7299.1	3765.1	2938.2
Ubxn6	1412.2	1433.7	1168.5	1283.8	1265.7	1234
Mydgf	1984.1	1984.7	2436.3	2279.6	1393.2	1410.6
Ccdc12	2034.2	1849.8	2364.8	2091.6	1654.5	1772.4
1110001J03Rik	808.7	680.3	730.4	676.6	557.7	494.6
Akt3	664.8	636.3	691.4	667.8	2535.6	2381.5
Mrpl24	2514.2	2647.2	2456.7	2839.7	2687	2844.4
Gle1	3072.2	3015.5	3340.2	3171.7	2514.9	2709.1
Lyst	1397.3	1402.8	2078	1762.6	1919.9	1760.2
Slc35e1	2593.1	2665	2671.1	2883.8	3709.1	3777.5
Tmc4	182	189.3	179.1	209.6	258.1	219.3
Polr2i	789.2	761.8	804.7	816.7	725.7	621.3
Krt10	158.8	147.1	198.6	139	251.9	203.4
Rmnd1	1502.2	1540.5	1432.1	1401.3	1737.4	1509.3
Esr1	1031.5	996.1	539.2	476.9	416.7	550.6
Fbxo5	2366.6	2273.3	2684.1	2576.3	4792.4	4804.3
Mtrf1l	543.1	577.2	534.6	520	614.7	632.2
Hdac2	6217.8	6114.4	6499.5	6444.3	6453.1	6665.7
Rwdd1	1817.9	1702.7	2166.2	1869.3	2130.3	2130.5
Stxbp5	2450.2	2518.8	2634	2583.2	2766.8	2799.3
Hint3	179.2	168.7	161.5	177.2	143.1	126.7
Trmt11	841.2	849.9	913.3	870.5	823.1	784.5
Katna1	1456.7	1389.7	1582.4	1412	1468.9	1604.3
Pcmt1	2433.5	2408.3	2423.3	2250.3	2820.7	2877.2
1700021F05Rik	373.2	317.7	465.9	369.2	432.3	422.7
Sec63	4943	4999.3	4778.8	4620.9	6564	6252.7
Snx3	3800.1	3722	4037.3	4107.8	4544.6	4531.5
Adat2	248.8	230.5	298.8	267.3	330.7	322.8
Pex3	853.2	764.6	927.2	780.4	885.3	850.3
Fuca2	2599.6	2647.2	2449.3	2535.2	1421.2	1255.9
Cep57l1	766.9	767.5	862.2	793.2	902.9	861.2
Ltv1	2388.9	2267.7	2905.9	2577.3	1872.2	2034.3
Cd164	7994.8	7978.2	8863.4	8528	8091	7430.7
Utrn	2692.5	3236.6	1800.5	2560.7	3347.3	3281.7
Smpd2	593.3	705.6	689.6	685.5	510	560.3
Mical1	4931	4810.9	4662.8	4532.8	5103.4	5324.5
Zbtb24	830	804	784.2	705	815.8	786.9
Gtf3c6	1585.8	1561.2	1763.4	1674.5	1166.2	1230.3
Slc16a10	1747.3	1982.8	1378.2	1840.9	91.2	107.2
Rev3l	2105.7	2257.4	1963.9	2121	2775.1	2868.7
Traf3ip2	414.1	392.6	341.5	373.1	898.8	791.8
Fyn	2213.4	2114	1809.8	2000.6	4529.1	4723.9
Tube1	679.6	670.9	718.4	695.2	1057.4	1126.8
Prep	4939.3	4480.1	5641.9	5330.9	27765.5	18080.9
Tnfaip3	262.7	215.5	296.1	269.3	998.3	825.9
Arfgef3	532.9	521.9	550.4	410.3	165.9	112.1
Reps1	6398.8	6212.8	5538.9	5698.1	5834.2	5973.8
Asf1a	2052.8	1958.5	2194	2007.4	2620.6	2542.3
Gopc	1878.2	1839.5	2117.9	1835.1	2998	3006.4
Qrsl1	1112.3	1103.9	1240.9	1078.1	1016.9	1067.1
Rtn4ip1	988.8	1032.7	1172.2	1103.6	737.1	836.9
Aim1	581.2	623.2	322.1	574.8	1407.8	1204.7
Vta1	1365.7	1268.8	1397.7	1356.2	1596.4	1532.4
Reep3	1966.4	1993.1	1984.3	2049.5	2247.4	2164.6
Pkib	129.1	108.7	171.7	108.7	126.5	120.6
Serinc1	5547.5	5904.5	4867	5191.8	4412	4458.4
Hsf2	775.3	838.7	852.9	816.7	928.8	906.3
Echdc1	2083.4	2154.3	1944.4	1917.3	1608.9	1623.8
Ccdc59	1545.9	1403.7	1560.1	1439.5	1673.1	1577.5
Ppp1r12a	3262.6	3276	3214	3254	4000.4	3647.1
P4ha1	1505	1502.1	1782	1590.3	4934.4	4252.5
Sept10	245.1	271.8	278.4	303.6	527.7	449.5
Lims1	4376.7	4691.9	4685.1	4696.3	3972.4	4192.8
Zwint	4909.6	4764.1	4848.4	4862.8	3738.1	3862.7
Ube2d1	1152.2	1117	1056.2	1194.7	1049.1	1052.5
Cdk1	6353.3	5776.1	7742.3	6868.3	10240	9539.3
Atp2b1	1341.6	1382.2	1608.4	1473.7	2197.7	2186.6
Rhobtb1	231.2	266.1	142	201.7	86	97.5
Arid5b	120.7	154.6	146.6	119.5	234.3	169.3
Actr6	610.9	582.9	637.6	588.5	670.7	637.1
Uhrf1bp1l	2813.2	2604.1	2712.9	2514.6	3051.9	2975.9
Poc1b	882.9	876.2	1085.9	941	1462.7	1447.2
Dusp6	205.2	189.3	765.7	528.8	1090.5	889.2
Tmpo	15071.4	15177.7	19643.3	18097	27489.7	27241.3
Psen1	3511.4	3485	3243.7	3211.8	2794.8	2787.1
Sgk1	197.8	197.7	473.3	231.1	1910.5	1410.6
Cep290	841.2	789	950.4	811.8	1324.8	1198.6
Ikbip	414.1	374.8	431.6	286.9	365.9	321.6
Hbs1l	3265.3	3380	3062.7	3167.8	3529.8	3532.6
Epb41l2	3812.2	3692.1	5094.4	4349.7	6614.8	6257.6
Apaf1	3273.7	3212.3	3556.5	3475.3	5028.8	4927.4
Myb	15860.6	16489.6	15461.3	16529.3	16958.5	14877.1
Med23	2429.7	2437.3	2270.1	2333.5	2891.2	2750.6
Ahi1	647.1	745	576.4	613	955.8	930.7
Nedd1	1558.9	1602.4	1602.8	1733.2	1658.6	1616.5
Mtfr2	1225.5	1188.2	1553.6	1615.7	1071.9	1091.5
Map7	143.9	158.4	112.3	141	99.5	99.9
Stx7	1360.2	1316.6	1686.4	1580.5	1645.2	1539.7
Pex7	1076.1	1130.1	1094.2	1109.5	852.1	875.8
Ifngr1	1674	1718.6	2005.6	1983.9	1883.6	2012.4
Cdk17	2396.3	2603.2	1989.9	2221.9	2017.3	2292.5
Snrpf	4759.2	4215.9	5174.2	4661.1	4813.1	4923.7
Fgd6	110.5	108.7	114.2	143	379.4	374
Ndufa12	1760.3	1514.3	1985.2	1695	1920.9	1752.9
Cep83	3272.8	2947.1	3513.8	2935.7	3269.6	3022.2
Socs2	20326.4	22148.6	15582.9	19103.6	17273.6	16217.1
Nudt4	2272.8	2468.2	2611.7	2737.9	4854.6	4473
Nuak1	76.1	29	83.5	49	920.5	684.6
Tcp11l2	1326.7	1362.5	926.2	887.2	1278.2	1072
Cry1	1883.8	1825.4	1985.2	1783.2	2319	2396.1
Timp3	71.5	80.6	65	66.6	179.3	147.4
Hsp90b1	32363.7	32658.7	35375.6	35666.2	27120.7	26671.2
Ccdc53	885.7	850.9	941.1	857.8	818.9	771.1
Sirt1	1651.7	1797.3	1784.7	1857.6	2526.3	2619
Herc4	2435.3	2459.8	2687.8	2580.2	2859.1	2954
Hnrnph3	1752	1908.8	1683.6	1731.3	2409.2	2230.4
Rufy2	499.5	535.1	436.2	403.4	943.3	839.3
Ccar1	8400.6	8326.8	9049.9	8604.4	9226.1	8834
Ddx21	14346.3	13724.3	17223.8	16439.2	11075.5	12702.8
Ddx50	2873.5	2989.3	3030.3	2955.3	3433.4	3145.2
Srgn	9238.9	9236.7	7274.5	7074.9	4229.5	4129.5
Vps26a	3470.5	3518.7	3395	3317.6	2610.3	2721.3
Supv3l1	1823.5	1731.7	1971.3	1953.5	1504.2	1542.2
Tysnd1	1842	1830.1	1977.8	2119	1552.9	1766.3
Sar1a	5237.3	5429.4	5022.9	5239.8	4479.3	4674
Ppa1	3405.5	3155.1	3580.6	3838.5	2692.2	3042.9
Eif4ebp2	6012.6	6100.3	6079.1	6324.8	5616.5	5674.1
Sgpl1	1396.4	1430.9	1853.4	1725.4	1888.8	1900.3
Slc29a3	1707.4	1921	1783.8	2107.3	1556	1704.2
Vsir	252.5	273.6	263.6	346.6	200.1	289.9
Slc16a7	213.5	223	234.8	305.5	41.5	23.1
Anapc16	1201.4	1098.2	1428.4	1181.9	1721.9	1593.3
Ddit4	1453.9	1501.2	1003.3	1147.6	4346.6	3404.7
Dnajb12	1949.7	1956.6	2014	1899.7	2281.7	2420.4
Micu1	964.7	975.5	1097.9	991	1309.3	1207.2
Cand1	7353.3	7472.2	7441.5	7589	8044.4	8355.2
Tbk1	3045.3	2810.3	3179.7	2626.3	3345.2	3096.5
Pno1	2372.2	2192.7	3032.1	2696.8	1885.7	2016
Plek	2717.6	2591	2986.6	2731	993.1	765
Usp15	3177.1	3156	3910.1	3594.7	4988.3	5196.6
Vps54	2670.2	3027.7	2375	2768.3	3733	3912.7
Tbc1d15	3257	3247.9	3079.5	3154.1	3055	3002.7
Pcsk4	264.6	294.2	245	266.3	311	372.8
Rab21	1531	1425.3	1738.3	1700.9	1985.2	2002.6
2310011J03Rik	1504.1	1425.3	1575.9	1491.4	1204.6	1277.8
Peli1	1371.3	1426.2	1242.7	1400.3	2133.4	2309.6
Thap2	1019.4	1046.7	814.9	915.6	844.9	863.7
Slc1a4	1898.7	2217.1	1952.7	1963.3	1673.1	1677.4
Dock2	11181.2	11418.2	10187.8	10990.8	10103.1	10511.3
Rab1a	6424.8	6499.5	6513.4	6513.8	5488	5778.9
Actr2	13738.2	13052.4	15991.2	15484.4	14721.4	15017.2
Ndufs7	2693.4	2496.4	2884.5	2917.1	2331.4	2493.5
Mum1	2218.1	2226.5	2500.3	2449	2981.4	2910.1
Meis1	1775.2	2099	1273.4	1659.8	900.8	678.5
Uqcr11	3217.1	2912.4	3406.1	3103.2	2355.3	2324.2
Cnot2	4152	4060.3	4137.5	4261.6	4706.4	4697.1
Tcf3	11094.9	10800.7	10443	10742.1	22350	21171.3
Frs2	1506.9	1525.5	1287.3	1429.7	1443	1472.7
Yeats4	2826.2	2770.9	2748.1	2735.9	2775.1	2790.8
Rab36	183.8	158.4	140.1	128.3	72.6	65.8
